Name	Media	Release date	Timeline and year	Watch status	Year	Notes	Wikipedia URL
Mobile Suit Gundam	TV series: 43 episodes	1979-1980	Universal Century (UC) 0079				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam
Mobile Suit Gundam	Compilation movies: 3	1981-1982	Universal Century (UC) 0079				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam
Mobile Suit Zeta Gundam	TV series: 50 episodes	1985-1986	Universal Century (UC) 0087				https://en.wikipedia.org/wiki/Mobile_Suit_Zeta_Gundam
Mobile Suit Zeta Gundam	Compilation movies: 3	2005-2006	Universal Century (UC) 0087				https://en.wikipedia.org/wiki/Mobile_Suit_Zeta_Gundam
Mobile Suit Gundam ZZ	TV series: 47 episodes	1986-1987	Universal Century (UC) 0088				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_ZZ
Mobile Suit Gundam ZZ	OVA: 2 episodes	2009	Universal Century (UC) 0088				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_ZZ
Mobile Suit Gundam: Char's Counterattack	Movie	1988	Universal Century (UC) 0093				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam:_Char%27s_Counterattack
Mobile Suit SD Gundam	Movies: 5	1988, 1989, 1991, 1993					https://en.wikipedia.org/wiki/Mobile_Suit_SD_Gundam
Mobile Suit SD Gundam	OVA: 9 episodes	1989-1991					https://en.wikipedia.org/wiki/Mobile_Suit_SD_Gundam
Mobile Suit SD Gundam	Compilation TV series: 8 episodes	1993					https://en.wikipedia.org/wiki/Mobile_Suit_SD_Gundam
Mobile Suit Gundam 0080: War in the Pocket	OVA: 6 episodes	1989	Universal Century (UC) 0079-80				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_0080:_War_in_the_Pocket
Mobile Suit Gundam F91	Movie	1991	Universal Century (UC) 0123				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_F91
Mobile Suit Gundam 0083: Stardust Memory	OVA: 13 episodes	1991-1992	Universal Century (UC) 0083				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_0083:_Stardust_Memory
Mobile Suit Gundam 0083: Stardust Memory	Compilation movie	1992	Universal Century (UC) 0083				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_0083:_Stardust_Memory
Mobile Suit Victory Gundam	TV series: 51 episodes	1993-1994	Universal Century (UC) 0153				https://en.wikipedia.org/wiki/Mobile_Suit_Victory_Gundam
Mobile Fighter G Gundam	TV series: 49 episodes	1994-1995	Future Century (FC) 60				https://en.wikipedia.org/wiki/Mobile_Fighter_G_Gundam
Mobile Suit Gundam Wing	TV series: 49 episodes	1995-1996	After Colony (AC) 195				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_Wing
Mobile Suit Gundam Wing	Compilation specials: 4 episodes	1996	After Colony (AC) 195				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_Wing
Mobile Suit Gundam: The 08th MS Team	OVA: 12 episodes	1996-1999	Universal Century (UC) 0079				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam:_The_08th_MS_Team
Mobile Suit Gundam: The 08th MS Team	Compilation movie	1998	Universal Century (UC) 0079				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam:_The_08th_MS_Team
